Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025/06/01,23:05:11,226.0,220.0,272.5,59.9,59.9,28,31.0,UPS_10F
2025/06/01,22:05:03,231.0,220.0,272.5,60.0,60.0,28,31.0,UPS_10F
2025/06/01,21:04:55,229.0,220.0,272.5,60.0,60.0,28,30.0,UPS_10F
2025/06/01,20:04:47,228.5,220.0,272.5,59.9,59.9,27,30.0,UPS_10F
2025/06/01,19:04:40,228.5,220.0,272.5,60.0,60.0,28,29.0,UPS_10F
2025/06/01,18:04:32,229.0,220.0,272.5,60.0,60.0,28,29.0,UPS_10F
2025/06/01,17:04:24,229.0,220.0,272.5,59.9,59.9,28,29.0,UPS_10F
2025/06/01,16:04:15,229.5,220.0,272.5,59.9,59.9,27,29.0,UPS_10F
2025/06/01,15:04:06,230.0,220.0,272.5,59.9,59.9,28,28.0,UPS_10F
2025/06/01,14:03:58,229.5,220.0,272.5,59.9,59.9,28,28.0,UPS_10F
2025/06/01,13:03:50,228.5,220.0,272.5,60.0,60.0,27,27.0,UPS_10F
2025/06/01,12:03:41,229.0,220.0,272.2,60.0,60.0,28,24.0,UPS_10F
2025/06/01,11:03:33,228.5,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/06/01,10:03:25,227.5,220.0,272.2,60.0,60.0,28,24.0,UPS_10F
2025/06/01,09:03:16,228.5,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/06/01,08:03:08,228.0,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/06/01,07:02:59,228.5,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/06/01,06:02:51,229.5,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/06/01,05:02:42,229.5,220.0,272.2,59.9,59.9,27,24.0,UPS_10F
2025/06/01,04:02:34,229.5,220.0,272.2,60.0,60.0,29,24.0,UPS_10F
2025/06/01,03:02:26,229.5,220.0,272.2,59.9,59.9,28,23.0,UPS_10F
2025/06/01,02:02:18,228.5,220.0,272.2,59.9,59.9,28,24.0,UPS_10F
2025/06/01,01:02:10,228.0,220.0,272.2,60.0,60.0,28,23.0,UPS_10F
2025/06/01,00:02:01,227.0,220.0,272.2,60.0,60.0,29,24.0,UPS_10F
