Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025-06-06,00:51:36,221,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-06,01:51:36,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-06,02:51:37,223,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-06,03:51:37,223,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-06,04:51:38,224,230,2722,59.9,60.0,19,26,UPS_3F
2025-06-06,05:51:38,223,230,2718,60.0,60.0,19,27,UPS_3F
2025-06-06,06:51:38,221,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-06,07:51:39,223,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-06,08:51:39,221,229,2722,60.0,60.0,24,27,UPS_3F
2025-06-06,09:51:40,221,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-06,10:51:40,220,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-06,11:51:41,220,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-06,12:51:41,221,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-06,13:51:41,221,230,2718,60.0,60.0,24,28,UPS_3F
2025-06-06,14:51:41,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-06,15:51:41,222,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-06,16:51:42,221,230,2725,59.9,60.0,24,27,UPS_3F
2025-06-06,17:51:42,221,230,2718,60.0,60.0,23,26,UPS_3F
2025-06-06,18:51:42,222,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-06,19:51:42,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-06,20:51:43,222,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-06,21:51:43,223,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-06,22:51:43,221,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-06,23:51:44,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-07,00:51:45,220,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-07,01:51:45,222,230,2725,60.0,60.0,24,27,UPS_3F
2025-06-07,02:51:45,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-07,03:51:46,223,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-07,04:51:46,224,230,2718,59.9,60.0,19,27,UPS_3F
2025-06-07,05:51:47,223,230,2718,60.0,60.0,23,26,UPS_3F
2025-06-07,06:51:47,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-07,07:51:48,222,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-07,08:51:48,223,230,2725,59.9,60.0,24,27,UPS_3F
2025-06-07,09:51:49,221,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-07,10:51:49,221,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-07,11:51:49,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-07,12:51:49,222,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-07,13:51:50,223,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-07,14:51:50,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-07,15:51:51,224,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-07,16:51:51,225,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-07,17:51:51,224,230,2722,59.9,60.0,23,26,UPS_3F
2025-06-07,18:51:51,224,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-07,19:51:51,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-07,20:51:51,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-07,21:51:52,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-07,22:51:52,220,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-07,23:51:53,219,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-08,00:51:53,220,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-08,01:51:54,221,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-08,02:51:54,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-08,03:51:54,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-08,04:51:54,223,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-08,05:51:54,223,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-08,06:51:54,222,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-08,07:51:55,223,230,2722,60.0,60.0,19,27,UPS_3F
2025-06-08,08:51:55,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-08,09:51:56,224,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-08,10:51:56,224,230,2722,60.0,60.0,24,26,UPS_3F
2025-06-08,11:51:56,223,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-08,12:51:57,222,230,2718,59.9,60.0,19,27,UPS_3F
2025-06-08,13:51:57,222,229,2718,60.0,60.0,24,27,UPS_3F
2025-06-08,14:51:58,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-08,15:51:58,223,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-08,16:51:59,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-08,17:51:59,221,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-08,18:51:59,221,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-08,19:52:00,222,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-08,20:52:00,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-08,21:52:01,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-08,22:52:01,220,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-08,23:52:02,223,230,2725,59.9,60.0,24,27,UPS_3F
2025-06-09,00:52:02,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-09,01:52:03,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-09,02:52:03,224,229,2718,59.9,60.0,24,27,UPS_3F
2025-06-09,03:52:04,224,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-09,04:52:04,225,230,2718,59.9,60.0,23,26,UPS_3F
2025-06-09,05:52:04,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-09,06:52:05,222,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-09,07:52:05,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-09,08:52:06,222,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-09,09:52:06,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-09,10:52:07,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-09,11:52:08,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-09,12:52:08,225,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-09,13:52:09,223,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-09,14:52:09,224,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-09,15:52:10,225,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-09,16:52:10,225,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-09,17:52:10,223,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-09,18:52:11,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-09,19:52:11,226,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-09,20:52:12,227,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-09,21:52:12,227,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-09,22:52:13,223,230,2715,60.0,60.0,24,27,UPS_3F
2025-06-09,23:52:13,225,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-10,00:52:14,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-10,01:52:14,226,230,2725,59.9,60.0,24,26,UPS_3F
2025-06-10,02:52:15,227,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-10,03:52:15,228,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-10,04:52:16,228,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-10,05:52:16,227,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-10,06:52:17,226,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-10,07:52:17,226,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-10,08:52:18,222,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-10,09:52:18,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-10,10:52:19,221,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-10,11:52:19,221,230,2722,59.9,60.0,23,28,UPS_3F
2025-06-10,12:52:19,223,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-10,13:52:20,221,229,2722,59.9,60.0,24,28,UPS_3F
2025-06-10,14:52:20,221,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-10,15:52:21,221,230,2722,59.9,60.0,24,28,UPS_3F
2025-06-10,16:52:21,223,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-10,17:52:22,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-10,18:52:22,225,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-10,19:52:23,226,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-10,20:52:23,222,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-10,21:52:24,225,230,2722,60.0,60.0,19,27,UPS_3F
2025-06-10,22:52:24,226,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-10,23:52:24,224,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-11,00:52:25,225,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-11,01:52:25,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-11,02:52:26,224,229,2722,60.0,60.0,23,27,UPS_3F
2025-06-11,03:52:26,225,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-11,04:52:26,226,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-11,05:52:26,225,230,2718,59.9,60.0,19,26,UPS_3F
2025-06-11,06:52:26,223,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-11,07:52:27,229,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-11,08:52:27,224,229,2718,59.9,60.0,24,27,UPS_3F
2025-06-11,09:52:28,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-11,10:52:28,221,230,2718,60.0,60.0,23,28,UPS_3F
2025-06-11,11:52:29,220,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-11,12:52:29,222,230,2718,59.9,60.0,23,28,UPS_3F
2025-06-11,13:52:30,221,230,2718,60.0,60.0,24,28,UPS_3F
2025-06-11,14:52:30,223,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-11,15:52:31,224,230,2718,59.9,60.0,19,28,UPS_3F
2025-06-11,16:52:31,222,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-11,17:52:32,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-11,18:52:32,222,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-11,19:52:33,224,230,2725,59.9,60.0,23,27,UPS_3F
2025-06-11,20:52:33,225,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-11,21:52:34,226,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-11,22:52:34,225,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-11,23:52:35,223,230,2722,60.0,60.0,19,27,UPS_3F
2025-06-12,00:52:35,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-12,01:52:36,224,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-12,02:52:36,225,229,2718,60.0,60.0,24,27,UPS_3F
2025-06-12,03:52:37,224,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-12,04:52:37,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-12,05:52:38,224,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-12,06:52:38,222,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-12,07:52:38,226,230,2718,59.9,60.0,24,28,UPS_3F
2025-06-12,08:52:39,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-12,09:52:39,224,229,2718,60.0,60.0,24,28,UPS_3F
2025-06-12,10:52:40,224,229,2718,59.9,60.0,24,28,UPS_3F
2025-06-12,11:52:40,224,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-12,12:52:40,225,230,2722,60.0,60.0,24,28,UPS_3F
2025-06-12,13:52:40,223,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-12,14:52:41,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-12,15:52:41,225,230,2722,60.0,60.0,24,28,UPS_3F
2025-06-12,16:52:41,224,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-12,17:52:41,225,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-12,18:52:41,225,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-12,19:52:41,227,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-12,20:52:41,226,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-12,21:52:42,225,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-12,22:52:42,225,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-12,23:52:42,224,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-13,00:52:42,224,230,2722,59.9,60.0,19,27,UPS_3F
2025-06-13,01:52:42,226,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-13,02:52:43,227,230,2718,59.9,60.0,20,27,UPS_3F
2025-06-13,03:52:43,227,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-13,04:52:44,228,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-13,05:52:44,228,230,2722,60.0,60.0,19,27,UPS_3F
2025-06-13,06:52:44,225,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-13,07:52:45,226,230,2722,60.0,60.0,19,27,UPS_3F
2025-06-13,08:52:45,225,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-13,09:52:46,224,230,2718,60.0,60.0,24,28,UPS_3F
2025-06-13,10:52:46,223,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-13,11:52:46,223,229,2722,60.0,60.0,24,28,UPS_3F
2025-06-13,12:52:47,226,229,2722,60.0,60.0,24,27,UPS_3F
2025-06-13,13:52:47,223,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-13,14:52:48,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-13,15:52:48,225,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-13,16:52:49,225,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-13,17:52:49,224,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-13,18:52:50,225,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-13,19:52:50,227,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-13,20:52:50,227,230,2722,60.0,60.0,23,26,UPS_3F
2025-06-13,21:52:50,227,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-13,22:52:50,223,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-13,23:52:51,225,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-14,00:52:51,224,230,2722,59.9,60.0,20,27,UPS_3F
2025-06-14,01:52:52,226,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-14,02:52:52,225,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-14,03:52:53,226,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-14,04:52:53,227,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-14,05:52:54,227,230,2722,59.9,60.0,19,27,UPS_3F
2025-06-14,06:52:54,226,230,2725,60.0,60.0,24,27,UPS_3F
2025-06-14,07:52:54,226,230,2718,60.0,60.0,20,27,UPS_3F
2025-06-14,08:52:54,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-14,09:52:54,224,230,2718,59.9,60.0,19,27,UPS_3F
2025-06-14,10:52:54,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-14,11:52:55,226,230,2718,59.9,60.0,19,28,UPS_3F
2025-06-14,12:52:55,226,230,2725,60.0,60.0,19,28,UPS_3F
2025-06-14,13:52:56,225,229,2722,59.9,60.0,23,27,UPS_3F
2025-06-14,14:52:56,226,229,2718,59.9,60.0,24,28,UPS_3F
2025-06-14,15:52:57,228,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-14,16:52:57,227,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-14,17:52:57,226,230,2725,59.9,60.0,23,27,UPS_3F
2025-06-14,18:52:57,227,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-14,19:52:57,226,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-14,20:52:58,227,230,2722,59.9,60.0,20,27,UPS_3F
2025-06-14,21:52:58,227,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-14,22:52:59,223,230,2722,60.0,60.0,20,27,UPS_3F
2025-06-14,23:52:59,224,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-15,00:52:59,221,230,2725,59.9,60.0,24,27,UPS_3F
2025-06-15,01:52:59,223,229,2722,59.9,60.0,24,26,UPS_3F
2025-06-15,02:52:59,224,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-15,03:52:59,226,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-15,04:53:00,226,230,2722,60.0,60.0,24,28,UPS_3F
2025-06-15,05:53:00,226,230,2718,60.0,60.0,24,28,UPS_3F
2025-06-15,06:53:01,225,230,2718,60.0,60.0,25,28,UPS_3F
2025-06-15,07:53:01,226,230,2718,59.9,60.0,24,28,UPS_3F
2025-06-15,08:53:02,227,230,2722,59.9,60.0,20,27,UPS_3F
2025-06-15,09:53:02,227,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-15,10:53:03,226,230,2722,59.9,60.0,20,27,UPS_3F
2025-06-15,11:53:04,224,230,2718,60.0,60.0,24,28,UPS_3F
2025-06-15,12:53:04,227,230,2718,60.0,60.0,20,28,UPS_3F
2025-06-15,13:53:05,226,230,2722,59.9,60.0,20,28,UPS_3F
2025-06-15,14:53:05,226,230,2722,60.0,60.0,23,28,UPS_3F
2025-06-15,15:53:06,227,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-15,16:53:06,227,230,2718,60.0,60.0,23,27,UPS_3F
2025-06-15,17:53:07,227,230,2725,59.9,60.0,19,27,UPS_3F
2025-06-15,18:53:07,227,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-15,19:53:08,227,230,2725,59.9,60.0,24,27,UPS_3F
2025-06-15,20:53:08,227,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-15,21:53:09,225,229,2718,59.9,60.0,24,27,UPS_3F
2025-06-15,22:53:09,224,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-15,23:53:10,224,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-16,00:53:10,223,230,2725,59.9,60.0,23,27,UPS_3F
2025-06-16,01:53:11,225,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-16,02:53:11,225,230,2725,60.0,60.0,24,27,UPS_3F
2025-06-16,03:53:12,226,229,2718,60.0,60.0,24,27,UPS_3F
2025-06-16,04:53:12,226,229,2722,59.9,60.0,24,27,UPS_3F
2025-06-16,05:53:13,225,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-16,06:53:13,223,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-16,07:53:14,226,230,2722,59.9,60.0,24,26,UPS_3F
2025-06-16,08:53:14,222,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-16,09:53:14,222,230,2718,60.0,60.0,24,27,UPS_3F
2025-06-16,10:53:15,221,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-16,11:53:16,220,230,2722,60.0,60.0,20,27,UPS_3F
2025-06-16,12:53:16,222,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-16,13:53:17,222,229,2722,60.0,60.0,24,28,UPS_3F
2025-06-16,14:53:17,223,229,2722,60.0,60.0,24,27,UPS_3F
2025-06-16,15:53:18,223,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-16,16:53:18,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-16,17:53:19,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-16,18:53:19,225,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-16,19:53:20,227,230,2722,59.9,60.0,23,27,UPS_3F
2025-06-16,20:53:20,227,230,2722,60.0,60.0,23,27,UPS_3F
2025-06-16,21:53:21,225,230,2722,60.0,60.0,24,27,UPS_3F
2025-06-16,22:53:21,223,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-16,23:53:21,220,230,2718,59.9,60.0,24,27,UPS_3F
2025-06-17,00:53:22,222,230,2722,60.0,60.0,19,27,UPS_3F
2025-06-17,01:53:22,223,230,2725,59.9,60.0,24,27,UPS_3F
2025-06-17,02:53:22,224,230,2722,59.9,60.0,24,27,UPS_3F
2025-06-17,03:53:22,222,230,2718,59.9,60.0,23,27,UPS_3F
2025-06-17,04:53:22,223,230,2722,60.0,60.0,24,27,UPS_3F
